,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
108,DELITO,"Nathy Peluso",39015,https://open.spotify.com/track/0K3dGPXHVALEqW8EEQGc3T
109,Bésame,"El Reja",38776,https://open.spotify.com/track/5uD4fcXch2qE5LYeyDipA1
110,"Combi Nueva",Papichamp,38744,https://open.spotify.com/track/25YMD8Bf1CiQvAsYz5Bq0p
111,"Mamichula - con Nicki Nicole",Trueno,38720,https://open.spotify.com/track/0TUW9faHNaBmi89wsYGp9y
112,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",38542,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
113,"Seguir Viviendo Sin Tu Amor","Luis Alberto Spinetta",38531,https://open.spotify.com/track/2qBirMakpTdz9ymxrZEyzg
114,"Te Mentiría","La K'onga",38463,https://open.spotify.com/track/3H0PlcSmQ6z4DDCBFkD7Wx
115,"Por Mil Noches",Airbag,38425,https://open.spotify.com/track/10zSgbysU2KyVTrcRmtu62
116,"Hasta Que Me Olvides","Luis Miguel",38407,https://open.spotify.com/track/6vPAmoERUMRoTZaCCSWQ12
117,"La Curiosidad","Jay Wheeler",38164,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
118,"Persia - Remix",Jossef,38113,https://open.spotify.com/track/3SgybTfx3GWHAcjhK9iPmz
119,"Hasta Abajo","Kevin Roldan",38036,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
120,"enough for you","Olivia Rodrigo",37948,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
121,Flaca,"Andrés Calamaro",37810,https://open.spotify.com/track/1p7m9H4H8s0Y7SgRm7j3ED
122,"En Tu Cuerpo - Remix",Lyanno,37154,https://open.spotify.com/track/3dEtfTtCXWW7N8WQ9FD29z
123,Despeinada,Ozuna,35965,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
124,Mirenla,"Ciro y los Persas",35075,https://open.spotify.com/track/027NtsXW0vpDFhzxsJKmTL
125,"Malianteo 420",L-Gante,34796,https://open.spotify.com/track/6NKrW1a2OYNwAXuN4MgwXi
126,"Ya No Más","Fer Palacio",34582,https://open.spotify.com/track/4gQG2Ic7hnJMAcqunk4ERT
127,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","Jay Wheeler",34364,https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD
128,"Amor en Coma","Manuel Turizo",34360,https://open.spotify.com/track/0kRU83ecI57Iw1kPTeUwK5
129,"Break My Heart","Dua Lipa",34171,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
130,"La Tóxica",Farruko,33923,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
131,"1 step forward, 3 steps back","Olivia Rodrigo",33734,https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg
132,"Previa y Cachengue 40 - Remix","Fer Palacio",33680,https://open.spotify.com/track/3fq0e1TpOQFBDi0vuYrePo
133,"Algo Mágico","Rauw Alejandro",33525,https://open.spotify.com/track/7D93pJcwymzaZx8WgBo2zG
134,"Lost Cause","Billie Eilish",33337,https://open.spotify.com/track/2xdwCJLfKCkat14mlgR26M
135,"Relación - Remix",Sech,33148,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
136,Levitating,"Dua Lipa",33105,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
137,"Me Enamora","Lenny Tavárez",32767,https://open.spotify.com/track/3MvpSDePWyiVxheU1eff6L
138,Crimen,"Gustavo Cerati",32712,https://open.spotify.com/track/3oqWr0jDWNXxWufNogGREp
139,"We're Good","Dua Lipa",32480,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
140,Titubeo,L-Gante,32418,https://open.spotify.com/track/23UX82uDIfCUUneRfzDTD5
141,"Adore You","Harry Styles",32176,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
142,"Prisoner (feat. Dua Lipa)","Miley Cyrus",31720,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
143,"AYNEA REMIX",FMK,31489,https://open.spotify.com/track/5dDxdj2MrqrYCGzqXfJycL
144,"Build a Bitch","Bella Poarch",31297,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
145,Lassie,"La Joaqui",31235,https://open.spotify.com/track/4d9T4bHs1vFSyk1EeB075m
146,"Astronaut In The Ocean","Masked Wolf",30938,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
147,Ella,Boza,30845,https://open.spotify.com/track/66S2z95FN3nUAr9S1gUIsp
148,"Las Nenas (feat. La Duraca)","Natti Natasha",30828,https://open.spotify.com/track/2KTCXvWUbqfiinbFe7PJKP
149,"Miedito o Qué? (feat. KAROL G)","Ovy On The Drums",30466,https://open.spotify.com/track/7MoZgM6AsQaZw14WnKopuy
150,"Trátame Suavemente - Remasterizado 2007","Soda Stereo",30303,https://open.spotify.com/track/65DBZofI0b79kfHTcWWDuU
151,LOCATION,"KAROL G",30279,https://open.spotify.com/track/478g4LSkyMB1PMkVOVmIaE
152,"Your Power","Billie Eilish",30177,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
153,Golden,"Harry Styles",30059,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
154,"Save Your Tears","The Weeknd",30038,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
155,"Más De La Una","Piso 21",29916,https://open.spotify.com/track/00szcRmgqJGtqrfIUYkM1h
156,"Spaghetti del Rock",Divididos,29800,https://open.spotify.com/track/6rg1MBZqggsQ5olFGTw0rr
157,"La Incondicional","Luis Miguel",29704,https://open.spotify.com/track/6F9yAYUaNbUhdlQyt5uZ3b
158,Tiempo,Ozuna,29495,https://open.spotify.com/track/5H6SZcjJzBNsB2VzKW2Ivd
159,Jeans,"Justin Quiles",29409,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
160,"Every Breath You Take","The Police",29273,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
161,"Si Me Dices Que Sí",Reik,29236,https://open.spotify.com/track/56Ta1O7Jxxpjnc6cWdDKUo
162,"Campanas en la Noche","Los Tipitos",29166,https://open.spotify.com/track/0C9V5jMElp7laZZdsCHufD
163,Runaway,AURORA,29120,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
164,"hope ur ok","Olivia Rodrigo",29054,https://open.spotify.com/track/1zejeOnykpCoyVSit6Bwp3
165,"YSY A: Bzrp Music Sessions, Vol. 37",Bizarrap,28875,https://open.spotify.com/track/1xXQCSt0xkfeGhe18ey2p8
166,Creo,Callejeros,28816,https://open.spotify.com/track/5Bi9Cq5oVFy1OtUgecbegZ
167,"Un Poco de Amor Francés","Patricio Rey y sus Redonditos de Ricota",28814,https://open.spotify.com/track/1MRhIdcloOD0uiiG3ybXGX
168,"Mil Horas","Los Abuelos De La Nada",28729,https://open.spotify.com/track/6ySWtyMprBb1YX8WAAuFBs
169,Perfecta,Reik,28618,https://open.spotify.com/track/6VOb0Kkrd45Bp5RHYSla2J
170,"Dejaría Todo",CNCO,28616,https://open.spotify.com/track/1ZN2Dat0KrO0xqr9t8QP9r
171,"Cerca de tí - Remix","Tiago PZK",28597,https://open.spotify.com/track/51g3eI9dcemoeyk2mSe8wN
172,"EL TREN","Micro TDH",28513,https://open.spotify.com/track/2E5AxSvxrnRsaExLe1aaXI
173,"CÓMO SE SIENTE - Remix","Jhay Cortez",28467,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
174,Cascada,Duki,28438,https://open.spotify.com/track/7pKe9aetI14JCwKBZAEe6a
175,"Mírame - Remix","Nio Garcia",28433,https://open.spotify.com/track/7meQTf97i7gyAzeHTLIytv
176,"Un Beso en Madrid",TINI,28388,https://open.spotify.com/track/5L3kJqFfHgE0JzLqBoyQlB
177,DUDADE,Dillom,28128,https://open.spotify.com/track/1mjHyr9e7uP0QisX3y7a6T
178,"Tal Vez","Paulo Londra",28123,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
179,Bonita,Jeeiph,28095,https://open.spotify.com/track/2Q7KYjCv7XaLc0KRGY9m50
180,Arcade,"Duncan Laurence",28002,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
181,"Otra Noche Sin Ti","J Balvin",27969,https://open.spotify.com/track/2CdTLdDjwZdVcm0bresVWx
182,"Juntos a la Par",Pappo,27956,https://open.spotify.com/track/1Ig4pCPanhzXl7C86MmBUc
183,"Ayer Me Llamó Mi Ex – Remix",KHEA,27916,https://open.spotify.com/track/59nnGpAU3AiL2tD0o2It11
184,"Ay, DiOs Mío!","KAROL G",27864,https://open.spotify.com/track/1beTDCe7sT7fzm8WIKXicz
185,"Me Rehúso","Danny Ocean",27368,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o
186,"Pasos Al Costado",Turf,27240,https://open.spotify.com/track/7upAH0ezzsThyvr33YKn4u
187,"El Mismo Aire - con Pablo Alborán",Camilo,26628,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS
188,"Hold On","Justin Bieber",26606,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
189,"The Business",Tiësto,26576,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
190,"Ropa Cara",Camilo,26461,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
191,"Dance Monkey","Tones And I",26455,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
192,"Tan Bonita","Piso 21",26447,https://open.spotify.com/track/6mm3K0yWp6uzfOMuipM9Zh
193,"Someone You Loved","Lewis Capaldi",26401,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
194,"Un Latigazo - Remix","Locura Mix",26330,https://open.spotify.com/track/0yaPPonJCksJvf6Tu2cZq0
195,"De Música Ligera","Soda Stereo",26322,https://open.spotify.com/track/2WD9ggmpZE7Wodh3qVVCgg
196,"Barrio Prendido","The La Planta",26318,https://open.spotify.com/track/2I3qA0KslRCxFTfZnPyDhf
197,"3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix",Wisin,26296,https://open.spotify.com/track/6dyUkkcyYuDiHOwIRXYOJm
198,"Tu Veneno","J Balvin",26230,https://open.spotify.com/track/5KFHrrBMyGj5MhVbZMM3ts
199,Adiós,"Gustavo Cerati",26008,https://open.spotify.com/track/1rh4kDY9T4fHVDum8Foi5k
200,"Si Me Tomo una Cerveza - Remix",Migrantes,25913,https://open.spotify.com/track/7oySelE0Cb5q1TBBSPZJT2
